date,sales
2020-06-29,208
2020-06-30,173
2020-07-01,167
2020-07-02,195
2020-07-03,192
2020-07-04,181
2020-07-05,204
2020-07-06,176
2020-07-07,174
2020-07-08,209
2020-07-09,196
2020-07-10,196
2020-07-11,214
2020-07-12,199
2020-07-13,183
2020-07-14,174
2020-07-15,184
2020-07-16,216
2020-07-17,244
2020-07-18,197
2020-07-19,181
2020-07-20,213
2020-07-21,206
2020-07-22,212
2020-07-23,175
2020-07-24,208
2020-07-25,201
2020-07-26,209
2020-07-27,215
2020-07-28,220
2020-07-29,205
2020-07-30,221
2020-07-31,237
2020-08-01,246
2020-08-02,220
2020-08-03,242
2020-08-04,181
2020-08-05,211
2020-08-06,220
2020-08-07,233
2020-08-08,213
2020-08-09,234
2020-08-10,215
2020-08-11,251
2020-08-12,206
2020-08-13,223
2020-08-14,198
2020-08-15,220
2020-08-16,220
2020-08-17,221
2020-08-18,238
2020-08-19,201
2020-08-20,230
2020-08-21,228
2020-08-22,201
2020-08-23,213
2020-08-24,215
2020-08-25,241
2020-08-26,219
2020-08-27,215
2020-08-28,219
2020-08-29,217
2020-08-30,219
2020-08-31,224
2020-09-01,194
2020-09-02,200
2020-09-03,200
2020-09-04,203
2020-09-05,239
2020-09-06,225
2020-09-07,203
2020-09-08,201
2020-09-09,202
2020-09-10,197
2020-09-11,203
2020-09-12,215
2020-09-13,220
2020-09-14,187
2020-09-15,228
2020-09-16,199
2020-09-17,208
2020-09-18,218
2020-09-19,210
2020-09-20,173
2020-09-21,220
2020-09-22,211
2020-09-23,189
2020-09-24,211
2020-09-25,199
2020-09-26,195
2020-09-27,189
2020-09-28,211
2020-09-29,220
2020-09-30,183
2020-10-01,208
2020-10-02,202
2020-10-03,195
2020-10-04,209
2020-10-05,207
2020-10-06,181
2020-10-07,190
2020-10-08,187
2020-10-09,185
2020-10-10,176
2020-10-11,196
2020-10-12,179
2020-10-13,213
2020-10-14,183
2020-10-15,223
2020-10-16,199
2020-10-17,208
2020-10-18,188
2020-10-19,194
2020-10-20,174
2020-10-21,184
2020-10-22,176
2020-10-23,193
2020-10-24,184
2020-10-25,183
2020-10-26,179
2020-10-27,201
2020-10-28,188
2020-10-29,183
2020-10-30,169
2020-10-31,215
2020-11-01,160
2020-11-02,190
2020-11-03,168
2020-11-04,172
2020-11-05,169
2020-11-06,192
2020-11-07,178
2020-11-08,180
2020-11-09,181
2020-11-10,181
2020-11-11,194
2020-11-12,171
2020-11-13,177
2020-11-14,204
2020-11-15,187
2020-11-16,164
2020-11-17,186
2020-11-18,202
2020-11-19,164
2020-11-20,170
2020-11-21,192
2020-11-22,174
2020-11-23,161
2020-11-24,162
2020-11-25,194
2020-11-26,169
2020-11-27,190
2020-11-28,189
2020-11-29,170
2020-11-30,184
2020-12-01,179
2020-12-02,164
2020-12-03,181
2020-12-04,208
2020-12-05,189
2020-12-06,191
2020-12-07,185
2020-12-08,179
2020-12-09,209
2020-12-10,181
2020-12-11,164
2020-12-12,201
2020-12-13,188
2020-12-14,154
2020-12-15,198
2020-12-16,178
2020-12-17,186
2020-12-18,180
2020-12-19,196
2020-12-20,175
2020-12-21,169
2020-12-22,188
2020-12-23,211
2020-12-24,192
2020-12-25,172
2020-12-26,190
2020-12-27,163
2020-12-28,178
2020-12-29,179
2020-12-30,195
2020-12-31,205
2021-01-01,194
2021-01-02,190
2021-01-03,178
2021-01-04,190
2021-01-05,202
2021-01-06,206
2021-01-07,185
2021-01-08,211
2021-01-09,205
2021-01-10,177
2021-01-11,209
2021-01-12,215
2021-01-13,207
2021-01-14,192
2021-01-15,189
2021-01-16,187
2021-01-17,200
2021-01-18,218
2021-01-19,194
2021-01-20,209
2021-01-21,210
2021-01-22,208
2021-01-23,219
2021-01-24,225
2021-01-25,229
2021-01-26,206
2021-01-27,199
2021-01-28,215
2021-01-29,192
2021-01-30,196
2021-01-31,191
2021-02-01,202
2021-02-02,218
2021-02-03,200
2021-02-04,195
2021-02-05,233
2021-02-06,218
2021-02-07,200
2021-02-08,212
2021-02-09,217
2021-02-10,200
2021-02-11,192
2021-02-12,206
2021-02-13,208
2021-02-14,226
2021-02-15,221
2021-02-16,225
2021-02-17,228
2021-02-18,222
2021-02-19,219
2021-02-20,212
2021-02-21,198
2021-02-22,229
2021-02-23,227
2021-02-24,208
2021-02-25,232
2021-02-26,209
2021-02-27,213
2021-02-28,243
2021-03-01,251
2021-03-02,204
2021-03-03,238
2021-03-04,233
2021-03-05,227
2021-03-06,208
2021-03-07,249
2021-03-08,204
2021-03-09,243
2021-03-10,226
2021-03-11,248
2021-03-12,236
2021-03-13,210
2021-03-14,205
2021-03-15,192
2021-03-16,210
2021-03-17,189
2021-03-18,218
2021-03-19,208
2021-03-20,235
2021-03-21,203
2021-03-22,232
2021-03-23,233
2021-03-24,241
2021-03-25,225
2021-03-26,212
2021-03-27,224
2021-03-28,208
2021-03-29,199
2021-03-30,204
2021-03-31,201
2021-04-01,174
2021-04-02,204
2021-04-03,221
2021-04-04,204
2021-04-05,237
2021-04-06,211
2021-04-07,235
2021-04-08,209
2021-04-09,192
2021-04-10,192
2021-04-11,215
2021-04-12,198
2021-04-13,210
2021-04-14,215
2021-04-15,188
2021-04-16,204
2021-04-17,177
2021-04-18,189
2021-04-19,217
2021-04-20,204
2021-04-21,174
2021-04-22,192
2021-04-23,206
2021-04-24,171
2021-04-25,203
2021-04-26,211
2021-04-27,192
2021-04-28,208
2021-04-29,199
2021-04-30,182
2021-05-01,204
2021-05-02,199
2021-05-03,198
2021-05-04,194
2021-05-05,173
2021-05-06,207
2021-05-07,203
2021-05-08,180
2021-05-09,171
2021-05-10,201
2021-05-11,191
2021-05-12,190
2021-05-13,197
2021-05-14,196
2021-05-15,222
2021-05-16,189
2021-05-17,162
2021-05-18,191
2021-05-19,174
2021-05-20,155
2021-05-21,176
2021-05-22,193
2021-05-23,193
2021-05-24,180
2021-05-25,189
2021-05-26,178
2021-05-27,165
2021-05-28,189
2021-05-29,157
2021-05-30,187
2021-05-31,213
2021-06-01,178
2021-06-02,178
2021-06-03,177
2021-06-04,202
2021-06-05,168
2021-06-06,187
2021-06-07,199
2021-06-08,223
2021-06-09,199
2021-06-10,193
2021-06-11,192
2021-06-12,164
2021-06-13,206
2021-06-14,195
2021-06-15,162
2021-06-16,191
2021-06-17,169
2021-06-18,155
2021-06-19,173
2021-06-20,176
2021-06-21,180
2021-06-22,189
2021-06-23,193
2021-06-24,197
2021-06-25,185
2021-06-26,169
2021-06-27,192
2021-06-28,189
2021-06-29,181
2021-06-30,165
2021-07-01,148
2021-07-02,185
2021-07-03,193
2021-07-04,205
2021-07-05,175
2021-07-06,198
2021-07-07,161
2021-07-08,202
2021-07-09,203
2021-07-10,187
2021-07-11,171
2021-07-12,198
2021-07-13,194
2021-07-14,198
2021-07-15,174
2021-07-16,187
2021-07-17,218
2021-07-18,185
2021-07-19,207
2021-07-20,202
2021-07-21,187
2021-07-22,175
2021-07-23,191
2021-07-24,220
2021-07-25,213
2021-07-26,198
2021-07-27,222
2021-07-28,202
2021-07-29,205
2021-07-30,228
2021-07-31,197
2021-08-01,231
2021-08-02,213
2021-08-03,219
2021-08-04,218
2021-08-05,195
2021-08-06,256
2021-08-07,228
2021-08-08,201
2021-08-09,210
2021-08-10,207
2021-08-11,197
2021-08-12,257
2021-08-13,220
2021-08-14,227
2021-08-15,203
2021-08-16,199
2021-08-17,209
2021-08-18,213
2021-08-19,222
2021-08-20,201
2021-08-21,224
2021-08-22,233
2021-08-23,221
2021-08-24,205
2021-08-25,208
2021-08-26,219
2021-08-27,182
2021-08-28,217
2021-08-29,211
2021-08-30,183
2021-08-31,225
2021-09-01,217
2021-09-02,218
2021-09-03,201
2021-09-04,211
2021-09-05,205
2021-09-06,263
2021-09-07,226
2021-09-08,237
2021-09-09,227
2021-09-10,249
2021-09-11,219
2021-09-12,237
2021-09-13,227
2021-09-14,206
2021-09-15,214
2021-09-16,197
2021-09-17,236
2021-09-18,221
2021-09-19,236
2021-09-20,210
2021-09-21,231
2021-09-22,229
2021-09-23,231
2021-09-24,217
2021-09-25,208
2021-09-26,211
2021-09-27,209
2021-09-28,202
2021-09-29,201
2021-09-30,217
2021-10-01,217
2021-10-02,207
2021-10-03,212
2021-10-04,206
2021-10-05,213
2021-10-06,214
2021-10-07,223
2021-10-08,242
2021-10-09,194
2021-10-10,213
2021-10-11,196
2021-10-12,200
2021-10-13,204
2021-10-14,196
2021-10-15,218
2021-10-16,195
2021-10-17,212
2021-10-18,198
2021-10-19,186
2021-10-20,186
2021-10-21,209
2021-10-22,203
2021-10-23,238
2021-10-24,213
2021-10-25,230
2021-10-26,186
2021-10-27,201
2021-10-28,190
2021-10-29,208
2021-10-30,210
2021-10-31,201
2021-11-01,199
2021-11-02,196
2021-11-03,203
2021-11-04,179
2021-11-05,195
2021-11-06,179
2021-11-07,194
2021-11-08,198
2021-11-09,186
2021-11-10,170
2021-11-11,198
2021-11-12,177
2021-11-13,173
2021-11-14,174
2021-11-15,160
2021-11-16,159
2021-11-17,173
2021-11-18,204
2021-11-19,185
2021-11-20,177
2021-11-21,186
2021-11-22,182
2021-11-23,185
2021-11-24,168
2021-11-25,168
2021-11-26,160
2021-11-27,193
2021-11-28,189
2021-11-29,207
2021-11-30,177
2021-12-01,183
2021-12-02,182
2021-12-03,158
2021-12-04,162
2021-12-05,193
2021-12-06,142
2021-12-07,171
2021-12-08,158
2021-12-09,183
2021-12-10,177
2021-12-11,185
2021-12-12,205
2021-12-13,161
2021-12-14,176
2021-12-15,199
2021-12-16,194
2021-12-17,157
2021-12-18,167
2021-12-19,176
2021-12-20,188
2021-12-21,164
2021-12-22,208
2021-12-23,187
2021-12-24,168
2021-12-25,180
2021-12-26,178
2021-12-27,176
2021-12-28,182
2021-12-29,191
2021-12-30,191
2021-12-31,169
2022-01-01,199
2022-01-02,158
2022-01-03,171
2022-01-04,180
2022-01-05,197
2022-01-06,203
2022-01-07,182
2022-01-08,191
2022-01-09,173
2022-01-10,190
2022-01-11,186
2022-01-12,208
2022-01-13,205
2022-01-14,191
2022-01-15,206
2022-01-16,196
2022-01-17,232
2022-01-18,177
2022-01-19,195
2022-01-20,176
2022-01-21,182
2022-01-22,209
2022-01-23,195
2022-01-24,198
2022-01-25,213
2022-01-26,209
2022-01-27,191
2022-01-28,200
2022-01-29,210
2022-01-30,209
2022-01-31,177
2022-02-01,188
2022-02-02,205
2022-02-03,170
2022-02-04,216
2022-02-05,181
2022-02-06,202
2022-02-07,203
2022-02-08,216
2022-02-09,195
2022-02-10,217
2022-02-11,201
2022-02-12,202
2022-02-13,217
2022-02-14,199
2022-02-15,218
2022-02-16,219
2022-02-17,227
2022-02-18,217
2022-02-19,229
2022-02-20,196
2022-02-21,242
2022-02-22,211
2022-02-23,213
2022-02-24,246
2022-02-25,198
2022-02-26,237
2022-02-27,209
2022-02-28,236
2022-03-01,242
2022-03-02,229
2022-03-03,235
2022-03-04,231
2022-03-05,204
2022-03-06,184
2022-03-07,201
2022-03-08,234
2022-03-09,219
2022-03-10,229
2022-03-11,223
2022-03-12,210
2022-03-13,227
2022-03-14,225
2022-03-15,203
2022-03-16,197
2022-03-17,233
2022-03-18,221
2022-03-19,224
2022-03-20,213
2022-03-21,221
2022-03-22,229
2022-03-23,229
2022-03-24,253
2022-03-25,211
2022-03-26,209
2022-03-27,215
2022-03-28,237
2022-03-29,211
2022-03-30,224
2022-03-31,221
2022-04-01,228
2022-04-02,219
2022-04-03,220
2022-04-04,217
2022-04-05,215
2022-04-06,220
2022-04-07,203
2022-04-08,212
2022-04-09,182
2022-04-10,224
2022-04-11,223
2022-04-12,208
2022-04-13,202
2022-04-14,186
2022-04-15,212
2022-04-16,213
2022-04-17,213
2022-04-18,186
2022-04-19,222
2022-04-20,208
2022-04-21,189
2022-04-22,197
2022-04-23,193
2022-04-24,192
2022-04-25,221
2022-04-26,187
2022-04-27,198
2022-04-28,182
2022-04-29,210
2022-04-30,196
2022-05-01,211
2022-05-02,202
2022-05-03,208
2022-05-04,232
2022-05-05,166
2022-05-06,185
2022-05-07,217
2022-05-08,184
2022-05-09,191
2022-05-10,166
2022-05-11,151
2022-05-12,214
2022-05-13,192
2022-05-14,184
2022-05-15,218
2022-05-16,186
2022-05-17,178
2022-05-18,174
2022-05-19,186
2022-05-20,191
2022-05-21,167
2022-05-22,174
2022-05-23,203
2022-05-24,186
2022-05-25,203
2022-05-26,158
2022-05-27,186
2022-05-28,182
2022-05-29,200
2022-05-30,181
2022-05-31,189
2022-06-01,154
2022-06-02,196
2022-06-03,168
2022-06-04,166
2022-06-05,192
2022-06-06,168
2022-06-07,200
2022-06-08,169
2022-06-09,134
2022-06-10,179
2022-06-11,182
2022-06-12,160
2022-06-13,196
2022-06-14,168
2022-06-15,172
2022-06-16,184
2022-06-17,194
2022-06-18,205
2022-06-19,165
2022-06-20,194
2022-06-21,198
2022-06-22,163
2022-06-23,187
2022-06-24,180
2022-06-25,158
2022-06-26,196
2022-06-27,188
2022-06-28,202
2022-06-29,167
2022-06-30,185
2022-07-01,193
2022-07-02,159
2022-07-03,170
2022-07-04,200
2022-07-05,194
2022-07-06,184
2022-07-07,184
2022-07-08,186
2022-07-09,180
2022-07-10,196
2022-07-11,167
2022-07-12,170
2022-07-13,187
2022-07-14,195
2022-07-15,184
2022-07-16,190
2022-07-17,196
2022-07-18,199
2022-07-19,200
2022-07-20,178
2022-07-21,182
2022-07-22,184
2022-07-23,203
2022-07-24,188
2022-07-25,202
2022-07-26,215
2022-07-27,211
2022-07-28,188
2022-07-29,206
2022-07-30,180
2022-07-31,198
2022-08-01,202
2022-08-02,198
2022-08-03,192
2022-08-04,193
2022-08-05,214
2022-08-06,213
2022-08-07,219
2022-08-08,223
2022-08-09,214
2022-08-10,184
2022-08-11,198
2022-08-12,198
2022-08-13,218
2022-08-14,230
2022-08-15,216
2022-08-16,230
2022-08-17,185
2022-08-18,224
2022-08-19,228
2022-08-20,216
2022-08-21,190
2022-08-22,220
2022-08-23,232
2022-08-24,215
2022-08-25,206
2022-08-26,227
2022-08-27,236
2022-08-28,219
2022-08-29,220
2022-08-30,204
2022-08-31,196
2022-09-01,216
2022-09-02,249
2022-09-03,227
2022-09-04,223
2022-09-05,207
2022-09-06,217
2022-09-07,200
2022-09-08,218
2022-09-09,223
2022-09-10,206
2022-09-11,206
2022-09-12,198
2022-09-13,233
2022-09-14,219
2022-09-15,246
2022-09-16,196
2022-09-17,199
2022-09-18,219
2022-09-19,219
2022-09-20,209
2022-09-21,216
2022-09-22,241
2022-09-23,223
2022-09-24,234
2022-09-25,225
2022-09-26,208
2022-09-27,222
2022-09-28,198
2022-09-29,216
2022-09-30,199
2022-10-01,228
2022-10-02,193
2022-10-03,246
2022-10-04,223
2022-10-05,220
2022-10-06,221
2022-10-07,220
2022-10-08,225
2022-10-09,236
2022-10-10,215
2022-10-11,204
2022-10-12,216
2022-10-13,193
2022-10-14,205
2022-10-15,217
2022-10-16,219
2022-10-17,217
2022-10-18,202
2022-10-19,207
2022-10-20,223
2022-10-21,232
2022-10-22,199
2022-10-23,201
2022-10-24,215
2022-10-25,200
2022-10-26,202
2022-10-27,224
2022-10-28,186
2022-10-29,209
2022-10-30,195
2022-10-31,197
2022-11-01,208
2022-11-02,194
2022-11-03,208
2022-11-04,199
2022-11-05,199
2022-11-06,193
2022-11-07,182
2022-11-08,208
2022-11-09,187
2022-11-10,188
2022-11-11,199
2022-11-12,231
2022-11-13,189
2022-11-14,195
2022-11-15,195
2022-11-16,203
2022-11-17,189
2022-11-18,181
2022-11-19,161
2022-11-20,192
2022-11-21,192
2022-11-22,187
2022-11-23,187
2022-11-24,192
2022-11-25,192
2022-11-26,182
2022-11-27,185
2022-11-28,209
2022-11-29,186
2022-11-30,167
2022-12-01,165
2022-12-02,174
2022-12-03,214
2022-12-04,181
2022-12-05,182
2022-12-06,187
2022-12-07,173
2022-12-08,193
2022-12-09,182
2022-12-10,185
2022-12-11,196
2022-12-12,184
2022-12-13,167
2022-12-14,198
2022-12-15,179
2022-12-16,186
2022-12-17,189
2022-12-18,189
2022-12-19,172
2022-12-20,195
2022-12-21,188
2022-12-22,172
2022-12-23,191
2022-12-24,191
2022-12-25,192
2022-12-26,188
2022-12-27,197
2022-12-28,158
2022-12-29,156
2022-12-30,178
2022-12-31,176
